"year","id_","AGE","EDUC","SEX","RACETH","RELIG","sex1","race1","relig1","educ1","age1","sex2","race2","relig2","educ2","age2","sex3","race3","relig3","educ3","age3","sex4","race4","relig4","educ4","age4","sex5","race5","relig5","educ5","age5"
"1985","1985.589","44","12 years","Male","White","Protestant","Male","White","Catholic","Less than 10","65","Female","White","Protestant","12 years","36","Female","White","Protestant","12 years","62","Female","White","Catholic","10-11 years","50",NA,NA,NA,NA,NA
"1985","1985.590","53","16 or more","Female","White","None","Male","White","None","16 or more","57","Male","White","None","12 years","28","Female","White","Protestant","12 years","26","Female","White","Protestant","12 years","25","Female","White","None","16 or more","54"
"1985","1985.591","22","12 years","Male","White","None","Male","White","Protestant","12 years","45","Male","White",NA,"13-15 years","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.592","42","12 years","Male","White","Catholic","Female","White","Catholic","12 years","41","Male","White","Protestant","12 years","62","Male","White","Protestant","12 years","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.593","46","13-15 years","Female","White","Protestant","Male","White","Protestant","12 years","38","Female","White","Protestant","12 years","32","Male","White","Protestant","12 years","45","Male","White","Protestant","13-15 years","21","Male","White","Protestant","13-15 years","18"
"1985","1985.594","20","10-11 years","Male","White","Protestant","Male","White","Protestant","10-11 years","18","Male","White",NA,"16 or more","36","Male","White",NA,"16 or more","35","Male","White","Protestant","12 years","39","Female","White","Protestant","10-11 years","17"
"1985","1985.595","27","13-15 years","Female","White","Protestant","Female","White","Protestant","12 years","29","Female","White","Catholic","12 years","27","Female","White","Protestant","10-11 years","29","Male","White","Protestant","10-11 years","40","Female","White","Protestant","10-11 years","47"
"1985","1985.596","36","13-15 years","Male","White","Catholic","Female","White","Catholic","13-15 years","37","Male","White","Catholic","16 or more","39","Male","White","Catholic","13-15 years","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.597","36","13-15 years","Female","White","Protestant","Female","White","Protestant","13-15 years","31","Male","White","Protestant","13-15 years","31","Male","White",NA,"16 or more","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.598","19","10-11 years","Male","White","Protestant","Female","White","Protestant","12 years","44","Male","White","Protestant","16 or more","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.599","34","16 or more","Female","White","Protestant","Male","White","Protestant","16 or more","37","Female","White","Protestant","12 years","58","Female","White","Protestant",NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.600","20","12 years","Female","White","Catholic","Male","White","None","12 years","19","Male","White","Catholic","13-15 years","42","Female","White","Catholic","13-15 years","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.601","20","13-15 years","Female","White","Catholic","Female","White","Catholic","13-15 years","21","Female","White","Catholic","13-15 years","49","Male","White","Catholic","12 years","49","Female","White","Catholic","13-15 years","28","Female","White","Catholic","12 years","22"
"1985","1985.602","59","Less than 10","Male","White","Protestant","Female","White","Protestant","10-11 years","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.603","29","12 years","Male","White","Protestant","Female","White","Protestant","13-15 years","26","Male","White","Protestant","13-15 years","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.604","31","12 years","Male","White","Protestant","Female","White","Protestant","10-11 years","32","Male","White","Protestant","12 years","27","Male","White","Catholic","16 or more","29","Male","White","None","16 or more","30","Male","White","Protestant","16 or more","29"
"1985","1985.605","82","Less than 10","Female","White","Protestant","Female","White","Protestant","10-11 years","60","Female","White","Catholic","10-11 years","56","Male","White","Catholic","13-15 years","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.606","74","Less than 10","Female","White","Catholic","Female","White","Protestant",NA,"50","Female","White","Protestant",NA,"50","Female","White","Protestant",NA,"50","Female","White","Protestant","12 years","30",NA,NA,NA,NA,NA
"1985","1985.607","68","Less than 10","Female","White","Protestant","Male","White","Protestant","10-11 years","45","Female","White",NA,"12 years","45","Male","White","Protestant","10-11 years","49","Male","White","Protestant",NA,"50",NA,NA,NA,NA,NA
"1985","1985.608","85","10-11 years","Female","White","Catholic","Female","White","Catholic","12 years","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.609","61","12 years","Female","Hispanic","Protestant","Female","Hispanic","Protestant","13-15 years","27","Female","Hispanic","Protestant","12 years","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
